frame_idx,image_path,frame_timestamp_ms,frame_monotonic_ts,matched_pressure,pressure_timestamp_ms,pressure_monotonic_ts,sync_error_ms
58,rgb/000058_1779243745556.png,1779243745556,597759.817930,38,1779243745546,597759.808352,9.578
59,rgb/000059_1779243745589.png,1779243745589,597759.850912,39,1779243745587,597759.849032,1.881
60,rgb/000060_1779243745621.png,1779243745621,597759.883008,41,1779243745607,597759.869341,13.667
61,rgb/000061_1779243745653.png,1779243745653,597759.915109,40,1779243745645,597759.906924,8.185
62,rgb/000062_1779243745685.png,1779243745685,597759.947580,39,1779243745687,597759.949300,1.72
63,rgb/000063_1779243745718.png,1779243745718,597759.980325,39,1779243745707,597759.969568,10.757
64,rgb/000064_1779243745750.png,1779243745750,597760.012493,39,1779243745744,597760.006413,6.08
65,rgb/000065_1779243745783.png,1779243745783,597760.045098,40,1779243745785,597760.046983,1.884
66,rgb/000066_1779243745817.png,1779243745817,597760.078980,41,1779243745805,597760.067256,11.724
67,rgb/000067_1779243745847.png,1779243745847,597760.109606,40,1779243745846,597760.107877,1.729
68,rgb/000068_1779243745880.png,1779243745880,597760.142380,40,1779243745883,597760.144787,2.407
69,rgb/000069_1779243745913.png,1779243745913,597760.174864,39,1779243745903,597760.165381,9.482
70,rgb/000070_1779243745945.png,1779243745945,597760.207246,36,1779243745944,597760.206366,0.88
71,rgb/000071_1779243745977.png,1779243745977,597760.239048,36,1779243745965,597760.226789,12.259
72,rgb/000072_1779243746011.png,1779243746011,597760.272811,35,1779243746005,597760.267371,5.44
73,rgb/000073_1779243746042.png,1779243746042,597760.304482,32,1779243746046,597760.308108,3.626
74,rgb/000074_1779243746075.png,1779243746075,597760.337612,33,1779243746066,597760.328415,9.197
75,rgb/000075_1779243746107.png,1779243746107,597760.368873,33,1779243746102,597760.363978,4.895
76,rgb/000076_1779243746140.png,1779243746140,597760.401703,29,1779243746144,597760.405707,4.003
77,rgb/000077_1779243746172.png,1779243746172,597760.433724,29,1779243746164,597760.426033,7.69
78,rgb/000078_1779243746204.png,1779243746204,597760.466074,26,1779243746205,597760.467034,0.96
79,rgb/000079_1779243746238.png,1779243746238,597760.500074,22,1779243746241,597760.503211,3.137
80,rgb/000080_1779243746269.png,1779243746269,597760.531122,21,1779243746262,597760.523818,7.304
81,rgb/000081_1779243746301.png,1779243746301,597760.563161,15,1779243746303,597760.565455,2.294
82,rgb/000082_1779243746334.png,1779243746334,597760.596203,16,1779243746324,597760.585736,10.467
83,rgb/000083_1779243746367.png,1779243746367,597760.629004,16,1779243746364,597760.626310,2.694
84,rgb/000084_1779243746398.png,1779243746398,597760.660321,16,1779243746384,597760.646592,13.729
85,rgb/000085_1779243746432.png,1779243746432,597760.694117,16,1779243746422,597760.683685,10.432
86,rgb/000086_1779243746463.png,1779243746463,597760.725462,14,1779243746462,597760.724305,1.156
87,rgb/000087_1779243746496.png,1779243746496,597760.757902,14,1779243746503,597760.764920,7.018
88,rgb/000088_1779243746529.png,1779243746529,597760.791021,14,1779243746523,597760.785211,5.81
89,rgb/000089_1779243746561.png,1779243746561,597760.822656,14,1779243746564,597760.825787,3.131
90,rgb/000090_1779243746594.png,1779243746594,597760.856377,13,1779243746584,597760.846070,10.307
91,rgb/000091_1779243746626.png,1779243746626,597760.887736,11,1779243746625,597760.886706,1.03
92,rgb/000092_1779243746658.png,1779243746658,597760.919938,13,1779243746661,597760.922889,2.95
93,rgb/000093_1779243746690.png,1779243746690,597760.952022,8,1779243746682,597760.944531,7.491
94,rgb/000094_1779243746723.png,1779243746723,597760.984847,5,1779243746724,597760.986553,1.707
95,rgb/000095_1779243746756.png,1779243746756,597761.018474,4,1779243746761,597761.023414,4.94
96,rgb/000096_1779243746787.png,1779243746787,597761.049346,10,1779243746782,597761.044090,5.256
97,rgb/000097_1779243746821.png,1779243746821,597761.083272,10,1779243746824,597761.086360,3.088
98,rgb/000098_1779243746852.png,1779243746852,597761.114257,11,1779243746846,597761.108008,6.248
99,rgb/000099_1779243746884.png,1779243746884,597761.146537,16,1779243746882,597761.144094,2.443
100,rgb/000100_1779243746917.png,1779243746917,597761.179452,16,1779243746924,597761.186124,6.672
101,rgb/000101_1779243746950.png,1779243746950,597761.212045,17,1779243746939,597761.201350,10.696
102,rgb/000102_1779243746982.png,1779243746982,597761.244428,17,1779243746982,597761.243858,0.57
103,rgb/000103_1779243747014.png,1779243747014,597761.276019,17,1779243747002,597761.264162,11.857
104,rgb/000104_1779243747048.png,1779243747048,597761.309873,21,1779243747043,597761.304798,5.075
105,rgb/000105_1779243747079.png,1779243747079,597761.341364,17,1779243747079,597761.341407,0.043
106,rgb/000106_1779243747112.png,1779243747112,597761.373670,17,1779243747100,597761.362590,11.08
107,rgb/000107_1779243747144.png,1779243747144,597761.405849,17,1779243747143,597761.404868,0.981
108,rgb/000108_1779243747177.png,1779243747177,597761.438695,17,1779243747179,597761.441335,2.64
109,rgb/000109_1779243747209.png,1779243747209,597761.470700,17,1779243747201,597761.462963,7.736
110,rgb/000110_1779243747241.png,1779243747241,597761.502883,17,1779243747242,597761.504098,1.215
111,rgb/000111_1779243747274.png,1779243747274,597761.536081,19,1779243747278,597761.540615,4.534
112,rgb/000112_1779243747306.png,1779243747306,597761.567647,20,1779243747299,597761.560903,6.743
113,rgb/000113_1779243747338.png,1779243747338,597761.600375,22,1779243747339,597761.601469,1.094
114,rgb/000114_1779243747371.png,1779243747371,597761.633113,23,1779243747380,597761.642051,8.938
115,rgb/000115_1779243747403.png,1779243747403,597761.664968,23,1779243747401,597761.663171,1.797
116,rgb/000116_1779243747435.png,1779243747435,597761.697386,24,1779243747438,597761.699773,2.387
117,rgb/000117_1779243747468.png,1779243747468,597761.730165,24,1779243747458,597761.720006,10.159
118,rgb/000118_1779243747500.png,1779243747500,597761.762025,24,1779243747498,597761.760491,1.534
119,rgb/000119_1779243747534.png,1779243747534,597761.795857,24,1779243747539,597761.800961,5.103
120,rgb/000120_1779243747565.png,1779243747565,597761.827239,24,1779243747560,597761.821757,5.482
121,rgb/000121_1779243747599.png,1779243747599,597761.860753,24,1779243747602,597761.864017,3.263
122,rgb/000122_1779243747630.png,1779243747630,597761.891661,24,1779243747622,597761.884386,7.274
123,rgb/000123_1779243747662.png,1779243747662,597761.924093,24,1779243747658,597761.919912,4.182
124,rgb/000124_1779243747696.png,1779243747696,597761.957805,28,1779243747699,597761.961588,3.783
125,rgb/000125_1779243747727.png,1779243747727,597761.989037,24,1779243747720,597761.982469,6.568
126,rgb/000126_1779243747792.png,1779243747792,597762.053740,24,1779243747781,597762.043226,10.514
127,rgb/000127_1779243747824.png,1779243747824,597762.086454,26,1779243747817,597762.078771,7.683
128,rgb/000128_1779243747857.png,1779243747857,597762.118742,28,1779243747858,597762.120190,1.448
129,rgb/000129_1779243747890.png,1779243747890,597762.151961,29,1779243747878,597762.140476,11.486
130,rgb/000130_1779243747921.png,1779243747921,597762.183394,36,1779243747920,597762.182204,1.19
