timestamp_ms,monotonic_ts,pressure
1779437174671,98523.593682,39
1779437174691,98523.614068,40
1779437174706,98523.629346,40
1779437174727,98523.649653,40
1779437174747,98523.669926,40
1779437174767,98523.690148,39
1779437174788,98523.710526,39
1779437174808,98523.730859,39
1779437174829,98523.752287,40
1779437174850,98523.773334,40
1779437174871,98523.793614,40
1779437174887,98523.810316,40
1779437174908,98523.830568,40
1779437174928,98523.850833,40
1779437174948,98523.871096,41
1779437174968,98523.891328,41
1779437174989,98523.911603,41
1779437175009,98523.931917,41
1779437175029,98523.952230,41
1779437175050,98523.972561,43
1779437175070,98523.992853,43
1779437175086,98524.008592,43
1779437175106,98524.028920,44
1779437175126,98524.049250,46
1779437175147,98524.069553,48
1779437175167,98524.089835,49
1779437175189,98524.111548,50
1779437175209,98524.131815,50
1779437175229,98524.152057,51
1779437175249,98524.172306,53
1779437175270,98524.192546,54
1779437175285,98524.207753,55
1779437175305,98524.228037,55
1779437175325,98524.248303,55
1779437175346,98524.268588,55
1779437175366,98524.288864,57
1779437175386,98524.309104,57
1779437175407,98524.329866,60
1779437175428,98524.351191,61
1779437175449,98524.371559,60
1779437175464,98524.387403,58
1779437175485,98524.407696,61
1779437175506,98524.428667,61
1779437175526,98524.448953,66
1779437175546,98524.469269,63
1779437175567,98524.489613,67
1779437175587,98524.509959,64
1779437175609,98524.531556,64
1779437175624,98524.546766,70
1779437175644,98524.567040,65
1779437175664,98524.587338,66
1779437175685,98524.607662,64
1779437175705,98524.628350,62
1779437175726,98524.649049,62
1779437175747,98524.669911,63
1779437175768,98524.691073,63
1779437175784,98524.707155,69
1779437175804,98524.727459,63
1779437175826,98524.749098,69
1779437175846,98524.769452,65
1779437175867,98524.789807,64
1779437175887,98524.810153,66
1779437175903,98524.826225,67
1779437175924,98524.846553,72
1779437175944,98524.866885,70
1779437175964,98524.887190,69
1779437175984,98524.907465,79
1779437176005,98524.927773,69
1779437176025,98524.948078,72
1779437176045,98524.968357,70
1779437176066,98524.988652,68
1779437176086,98525.009016,69
1779437176106,98525.029311,76
1779437176122,98525.045280,72
1779437176144,98525.066817,73
1779437176164,98525.087166,73
1779437176184,98525.107497,79
1779437176205,98525.127821,81
1779437176225,98525.148152,77
1779437176246,98525.168501,79
1779437176266,98525.188832,86
1779437176286,98525.209102,81
1779437176306,98525.229398,81
1779437176327,98525.249770,80
1779437176342,98525.265003,78
1779437176362,98525.285278,77
1779437176383,98525.305563,77
1779437176403,98525.325844,76
1779437176424,98525.346950,78
1779437176445,98525.367617,79
1779437176466,98525.388586,79
1779437176486,98525.408902,80
1779437176506,98525.429227,80
1779437176521,98525.444479,78
1779437176542,98525.465147,78
1779437176562,98525.485472,79
1779437176583,98525.505781,77
1779437176603,98525.526038,78
1779437176623,98525.546316,78
1779437176644,98525.566891,78
1779437176664,98525.587152,79
1779437176684,98525.607439,88
1779437176705,98525.627739,78
1779437176725,98525.648049,79
1779437176745,98525.668351,78
1779437176766,98525.688656,79
1779437176781,98525.703872,79
1779437176801,98525.724347,78
1779437176822,98525.744672,79
1779437176842,98525.764956,77
1779437176862,98525.785272,75
1779437176883,98525.805567,80
1779437176903,98525.825868,75
1779437176923,98525.846236,73
1779437176944,98525.867379,79
1779437176961,98525.883966,76
1779437176981,98525.904273,73
1779437177002,98525.925227,75
1779437177023,98525.946332,74
1779437177044,98525.966633,74
1779437177064,98525.987078,75
1779437177080,98526.003469,74
1779437177101,98526.023902,74
1779437177121,98526.044168,74
1779437177142,98526.065391,71
1779437177163,98526.085715,71
1779437177183,98526.105986,69
1779437177203,98526.126217,69
1779437177220,98526.142725,69
1779437177240,98526.163035,69
1779437177260,98526.183340,69
1779437177281,98526.203689,70
1779437177301,98526.223963,69
1779437177322,98526.244973,69
1779437177342,98526.265242,67
1779437177363,98526.285542,68
1779437177383,98526.306402,67
1779437177404,98526.326685,65
1779437177419,98526.341899,66
1779437177439,98526.362168,71
1779437177459,98526.382460,63
1779437177480,98526.402743,69
1779437177500,98526.423044,65
1779437177520,98526.443362,65
1779437177541,98526.463653,69
1779437177561,98526.483973,64
1779437177582,98526.505164,63
1779437177603,98526.526049,61
1779437177618,98526.541284,60
1779437177639,98526.561612,61
1779437177659,98526.581917,64
1779437177679,98526.602209,60
1779437177699,98526.622485,57
1779437177720,98526.642753,56
1779437177741,98526.663723,57
1779437177761,98526.684017,55
1779437177781,98526.704316,60
1779437177798,98526.720692,56
1779437177818,98526.740976,56
1779437177838,98526.761248,56
1779437177860,98526.782662,55
1779437177880,98526.803173,53
1779437177900,98526.823436,55
1779437177921,98526.843719,55
1779437177941,98526.864031,53
1779437177962,98526.885118,54
1779437177977,98526.900356,51
1779437177998,98526.920636,48
1779437178018,98526.940896,45
1779437178038,98526.961143,41
1779437178058,98526.981380,42
1779437178079,98527.001673,40
1779437178100,98527.022799,38
1779437178120,98527.043101,36
1779437178142,98527.064612,33
1779437178157,98527.079826,33
1779437178177,98527.100099,32
1779437178198,98527.121403,32
1779437178219,98527.141698,33
1779437178239,98527.162005,32
1779437178259,98527.182279,34
1779437178280,98527.202581,33
1779437178300,98527.222892,31
1779437178320,98527.243191,30
1779437178340,98527.263483,29
1779437178361,98527.283773,30
1779437178376,98527.298992,28
1779437178396,98527.319259,26
1779437178417,98527.339548,26
1779437178437,98527.359808,25
