frame_idx,image_path,frame_timestamp_ms,frame_monotonic_ts,matched_pressure,pressure_timestamp_ms,pressure_monotonic_ts,sync_error_ms
0,rgb/000000_1779437174661.png,1779437174661,98523.583638,39,1779437174649,98523.572171,11.467
1,rgb/000001_1779437174693.png,1779437174693,98523.615820,40,1779437174691,98523.614068,1.752
2,rgb/000002_1779437174726.png,1779437174726,98523.649042,40,1779437174727,98523.649653,0.612
3,rgb/000003_1779437174757.png,1779437174757,98523.680232,40,1779437174747,98523.669926,10.306
4,rgb/000004_1779437174790.png,1779437174790,98523.713062,39,1779437174788,98523.710526,2.536
5,rgb/000005_1779437174822.png,1779437174822,98523.745039,39,1779437174808,98523.730859,14.18
6,rgb/000006_1779437174854.png,1779437174854,98523.777280,40,1779437174850,98523.773334,3.946
7,rgb/000007_1779437174887.png,1779437174887,98523.810491,40,1779437174887,98523.810316,0.175
8,rgb/000008_1779437174919.png,1779437174919,98523.842373,40,1779437174908,98523.830568,11.805
9,rgb/000009_1779437174952.png,1779437174952,98523.875003,41,1779437174948,98523.871096,3.908
10,rgb/000010_1779437174984.png,1779437174984,98523.907348,41,1779437174989,98523.911603,4.255
11,rgb/000011_1779437175017.png,1779437175017,98523.939772,41,1779437175009,98523.931917,7.855
12,rgb/000012_1779437175049.png,1779437175049,98523.972326,43,1779437175050,98523.972561,0.235
13,rgb/000013_1779437175082.png,1779437175082,98524.005335,43,1779437175086,98524.008592,3.256
14,rgb/000014_1779437175114.png,1779437175114,98524.036831,44,1779437175106,98524.028920,7.911
15,rgb/000015_1779437175146.png,1779437175146,98524.069070,48,1779437175147,98524.069553,0.483
16,rgb/000016_1779437175178.png,1779437175178,98524.101313,50,1779437175189,98524.111548,10.235
17,rgb/000017_1779437175211.png,1779437175211,98524.134185,50,1779437175209,98524.131815,2.37
18,rgb/000018_1779437175244.png,1779437175244,98524.166701,51,1779437175229,98524.152057,14.644
19,rgb/000019_1779437175276.png,1779437175276,98524.198942,54,1779437175270,98524.192546,6.396
20,rgb/000020_1779437175309.png,1779437175309,98524.231755,55,1779437175305,98524.228037,3.718
21,rgb/000021_1779437175340.png,1779437175340,98524.263453,55,1779437175325,98524.248303,15.15
22,rgb/000022_1779437175373.png,1779437175373,98524.295841,57,1779437175366,98524.288864,6.977
23,rgb/000023_1779437175405.png,1779437175405,98524.328268,57,1779437175386,98524.309104,19.164
24,rgb/000024_1779437175438.png,1779437175438,98524.360642,61,1779437175428,98524.351191,9.451
25,rgb/000025_1779437175471.png,1779437175471,98524.393882,58,1779437175464,98524.387403,6.479
26,rgb/000026_1779437175567.png,1779437175567,98524.490442,67,1779437175567,98524.489613,0.829
27,rgb/000027_1779437175600.png,1779437175600,98524.522838,64,1779437175587,98524.509959,12.88
28,rgb/000028_1779437175633.png,1779437175633,98524.556193,70,1779437175624,98524.546766,9.426
29,rgb/000029_1779437175665.png,1779437175665,98524.587518,66,1779437175664,98524.587338,0.18
30,rgb/000030_1779437175697.png,1779437175697,98524.620006,64,1779437175685,98524.607662,12.344
31,rgb/000031_1779437175730.png,1779437175730,98524.652629,62,1779437175726,98524.649049,3.58
32,rgb/000032_1779437175762.png,1779437175762,98524.685073,63,1779437175747,98524.669911,15.162
33,rgb/000033_1779437175795.png,1779437175795,98524.718082,69,1779437175784,98524.707155,10.927
34,rgb/000034_1779437175828.png,1779437175828,98524.750809,69,1779437175826,98524.749098,1.712
35,rgb/000035_1779437175860.png,1779437175860,98524.782564,65,1779437175846,98524.769452,13.112
36,rgb/000036_1779437175892.png,1779437175892,98524.814500,66,1779437175887,98524.810153,4.347
37,rgb/000037_1779437175924.png,1779437175924,98524.846768,72,1779437175924,98524.846553,0.215
38,rgb/000038_1779437175956.png,1779437175956,98524.879139,70,1779437175944,98524.866885,12.254
39,rgb/000039_1779437175989.png,1779437175989,98524.912231,79,1779437175984,98524.907465,4.766
40,rgb/000040_1779437176022.png,1779437176022,98524.945475,72,1779437176025,98524.948078,2.603
41,rgb/000041_1779437176054.png,1779437176054,98524.977110,70,1779437176045,98524.968357,8.753
42,rgb/000042_1779437176088.png,1779437176088,98525.010645,69,1779437176086,98525.009016,1.629
43,rgb/000043_1779437176118.png,1779437176118,98525.041171,76,1779437176106,98525.029311,11.86
44,rgb/000044_1779437176151.png,1779437176151,98525.074351,73,1779437176144,98525.066817,7.534
45,rgb/000045_1779437176184.png,1779437176184,98525.107327,79,1779437176184,98525.107497,0.17
46,rgb/000046_1779437176216.png,1779437176216,98525.138759,81,1779437176205,98525.127821,10.939
47,rgb/000047_1779437176248.png,1779437176248,98525.170927,79,1779437176246,98525.168501,2.426
48,rgb/000048_1779437176281.png,1779437176281,98525.203932,81,1779437176286,98525.209102,5.17
49,rgb/000049_1779437176313.png,1779437176313,98525.235574,81,1779437176306,98525.229398,6.176
50,rgb/000050_1779437176345.png,1779437176345,98525.268168,78,1779437176342,98525.265003,3.165
51,rgb/000051_1779437176378.png,1779437176378,98525.300907,77,1779437176362,98525.285278,15.629
52,rgb/000052_1779437176410.png,1779437176410,98525.333442,76,1779437176403,98525.325844,7.598
53,rgb/000053_1779437176442.png,1779437176442,98525.365338,78,1779437176424,98525.346950,18.388
54,rgb/000054_1779437176475.png,1779437176475,98525.398107,79,1779437176466,98525.388586,9.521
55,rgb/000055_1779437176508.png,1779437176508,98525.430838,80,1779437176506,98525.429227,1.611
